account_hash,symbol,description,asset_type,quantity,market_value,average_price,cost_basis,raw_instrument_type,cusip
,RL,751212101,EQUITY,10.0,3462.5,240.07,1061.8,,751212101
,CLS,15101Q207,EQUITY,27.0,10286.73,375.55,146.88,,15101Q207
,AAPL,037833100,EQUITY,13.0,3817.58,293.32,4.42,,037833100
,URBN,917047102,EQUITY,54.0,3693.6,53.4109259259,809.4100000014,,917047102
,LDOS,525327102,EQUITY,22.0,2832.72,130.11,-29.700000000001,,525327102
,BRK.B,084670702,EQUITY,61.0,29222.05,351.4954098361,7780.8299999979,,084670702
,TPR,876030107,EQUITY,45.0,5992.65,133.48,-13.95,,876030107
,SHAK,819047101,EQUITY,28.0,1811.6,70.14,-152.32,,819047101
,QQQ,INVESCO QQQ TR,COLLECTIVE_INVESTMENT,36.0,25556.4,296.5577777778,14880.319999999198,EXCHANGE_TRADED_FUND,46090E103
,CIEN,171779309,EQUITY,8.0,4656.0,349.48,1860.16,,171779309
,UNP,907818108,EQUITY,14.0,3694.18,246.1257142857,248.4200000002,,907818108
,PWR,74762E102,EQUITY,6.0,4647.54,569.5633333333,1230.1600000002,,74762E102
,FN,G3323L100,EQUITY,14.0,9093.42,621.28,395.5,,G3323L100
,AMD,007903107,EQUITY,14.0,6310.22,199.2864285714,3520.2100000004,,007903107
,TWLO,90138F102,EQUITY,27.0,5361.93,201.7,-83.97,,90138F102
,PATH,90364P105,EQUITY,242.0,2565.2,11.575,-235.95,,90364P105
,DY,267475101,EQUITY,7.0,3016.65,362.5,479.15,,267475101
,LHX,502431109,EQUITY,10.0,3030.0,355.776,-527.76,,502431109
,PPIH,714167103,EQUITY,97.0,3274.72,28.8450515464,476.7499999992,,714167103
,COHR,19247G107,EQUITY,11.0,4236.98,247.6427272727,1512.9100000003,,19247G107
,VISN,20337X109,EQUITY,158.0,1897.58,7.6489240506,689.0500000052,,20337X109
,ERO,296006109,EQUITY,112.0,3244.64,27.565,157.36,,296006109
,CAH,14149Y108,EQUITY,12.0,2216.76,220.325,-427.14,,14149Y108
,PINE,02083X103,EQUITY,149.0,2856.33,18.7587919463,61.2700000013,,02083X103
,MTZ,576323109,EQUITY,9.0,3792.33,302.46,1070.19,,576323109
,GLW,219350105,EQUITY,21.0,4321.8,130.9552380952,1571.7400000008,,219350105
,DKS,253393102,EQUITY,13.0,2863.25,200.39,258.18,,253393102
,ATI,01741R102,EQUITY,18.0,2901.24,149.1938888889,215.7499999998,,01741R102
,DELL,24703L202,EQUITY,18.0,4366.62,151.345,1642.41,,24703L202
,WLDN,96924N100,EQUITY,35.0,3251.85,79.35,474.6,,96924N100
,GLW,219350105,EQUITY,213.0,43835.4,33.4191549296,36717.11999999521,,219350105
,PANW,697435105,EQUITY,12.0,2563.2,162.2391666667,616.3299999996,,697435105
,HD,437076102,EQUITY,20.0,6228.0,387.283,-1517.660000000001,,437076102
,MOD,607828100,EQUITY,22.0,6265.6,91.2718181818,4257.6200000004,,607828100
,TSCO,892356106,EQUITY,37.0,1124.8,52.2289189189,-807.6699999993,,892356106
,CLS,15101Q207,EQUITY,37.0,14096.63,42.22,12534.49,,15101Q207
,IESC,44951W106,EQUITY,14.0,9591.54,106.895,8095.01,,44951W106
,LMT,539830109,EQUITY,17.0,8713.01,436.8435294118,1286.6699999994,,539830109
,SPG,828806109,EQUITY,442.0,88002.2,62.8205882353,60235.4999999974,,828806109
,SPY,State Street SPDR S&P 500 ETF Trust,COLLECTIVE_INVESTMENT,250.0,184302.5,181.00392,139051.52000000002,EXCHANGE_TRADED_FUND,78462F103
,STRL,859241101,EQUITY,16.0,13890.88,111.27625,12110.46,,859241101
,AAPL,037833100,EQUITY,42.0,12333.72,142.06,6367.200000000001,,037833100
,GOOGL,02079K305,EQUITY,60.0,23269.8,93.5371666667,17657.569999998,,02079K305
,QCOM,747525103,EQUITY,67.0,15342.33,148.4173134328,5398.370000002401,,747525103
,ISRG,46120E602,EQUITY,4.0,1682.76,387.715,131.9,,46120E602
,AVGO,11135F101,EQUITY,120.0,51156.0,53.635,44719.8,,11135F101
,MSFT,594918104,EQUITY,26.0,10719.8,226.7884615385,4823.299999999001,,594918104
,SNPS,871607107,EQUITY,17.0,8721.0,266.9,4183.700000000001,,871607107
,VBK,Vanguard Small-Cap Growth ETF,COLLECTIVE_INVESTMENT,300.0,104058.0,118.84,68406.0,EXCHANGE_TRADED_FUND,922908595
,NEE,65339F101,EQUITY,203.0,19236.28,58.8150246305,7296.830000008501,,65339F101
,CMI,231021106,EQUITY,6.0,4054.38,282.9433333333,2356.7200000002,,231021106
,STAG,85254J102,EQUITY,961.0,37056.16,32.373798127,5944.939999953002,,85254J102
,MMM,88579Y101,EQUITY,123.0,17589.0,86.7713821138,6916.1200000026,,88579Y101
,NXPI,N6596X109,EQUITY,50.0,15251.5,205.3946,4981.769999999999,,N6596X109
,VICI,925652109,EQUITY,1350.0,39028.5,21.7403407407,9679.040000055002,,925652109
